facility_id,facility_name,address,city_town,state,zip_code,county_parish,telephone_number,patients_who_reported_that_staff_definitely_gave_care_in_a_professional_way_and_the_facility_was_clean,patients_who_reported_that_staff_somewhat_gave_care_in_a_professional_way_or_the_facility_was_somewhat_clean,patients_who_reported_that_staff_did_not_give_care_in_a_professional_way_or_the_facility_was_not_clean,facilities_and_staff_linear_mean_score,patients_who_reported_that_staff_definitely_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_somewhat_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_did_not_communicate_about_what_to_expect_during_and_after_the_procedure,communication_about_your_procedure_linear_mean_score,patients_who_gave_the_facility_a_rating_of_9_or_10_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_7_or_8_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_0_to_6_on_a_scale_from_0_lowest_to_10_highest,patients_rating_of_the_facility_linear_mean_score,patients_who_reported_yes_they_would_definitely_recommend_the_facility_to_family_or_friends,patients_who_reported_probably_yes_they_would_recommend_the_facility_to_family_or_friends,patients_who_reported_no_they_would_not_recommend_the_facility_to_family_or_friends,patients_recommending_the_facility_linear_mean_score,footnote,number_of_sampled_patients,number_of_completed_surveys,survey_response_rate_percent,start_date,end_date
01C0001035,THE SURGERY CENTER LLC,1440 HWY DR,OXFORD,AL,36203,,(256) 241-2614,98,2,0,99,96,4,0,98,93,5,2,96,95,3,2,97,"3,6",347,96,28,07/01/2024,06/30/2025
01C0001037,SOUTH ALABAMA OUTPATIENT SERVICES,201 EAST WATTS ST.,ENTERPRISE,AL,36330,,(334) 393-5474,98,2,0,99,92,7,1,95,87,11,2,96,87,12,1,95,"3,6",457,83,19,07/01/2024,06/30/2025
01C0001039,DOTHAN SURGERY CENTER LLC,1450 ROSS CLARK CIR SUITE 4,DOTHAN,AL,36301,,(334) 793-3442,98,2,0,99,94,5,1,96,95,4,1,97,92,6,2,96,,872,297,34,07/01/2024,06/30/2025
01C0001040,NORTHEAST ALABAMA EYE SURGERY CENTER,314 SOUTH 5TH ST,GADSDEN,AL,35901,,(256) 543-4152,97,3,0,98,90,9,1,94,94,5,1,97,93,6,1,97,"3,6",211,75,36,07/01/2024,06/30/2025
01C0001041,VISION CORRECTION CENTER,1406 MCFARLAND BLVD NORTH SUITE 2B,TUSCALOOSA,AL,35406,,(205) 248-0095,98,2,0,99,87,10,3,92,90,6,4,95,85,11,4,94,"3,6",624,64,10,07/01/2024,06/30/2025
01C0001042,GULF COAST SURGICAL PARTNERS LLC,"3715 DAUPHIN ST, STE. 503B",MOBILE,AL,36608,,(251) 272-4934,97,2,1,98,92,7,1,96,91,6,3,95,88,10,2,95,,668,138,21,07/01/2024,06/30/2025
01C0001043,SURGERY CENTER OF DECATUR LP,1122 14TH AVE. SE,DECATUR,AL,35601,,(256) 560-2890,98,2,0,99,95,4,1,97,91,8,1,96,89,10,1,96,3,1302,376,29,07/01/2024,06/30/2025
01C0001044,MADISON SURGERY CENTER LLC,460 LANIER RD,MADISON,AL,35758,,(256) 319-9000,99,0,1,99,98,2,0,99,94,3,3,97,90,7,3,95,"3,6",358,73,21,07/01/2024,06/30/2025
01C0001045,INFIRMARY ASC FAIRHOPE LLC DBA FAIRHOPE SURGERY CENTER,411 NORTH SECTION STREET,FAIRHOPE,AL,36532,,(614) 374-6496,98,2,0,99,94,5,1,96,93,6,1,96,91,8,1,97,3,2108,612,29,07/01/2024,06/30/2025
01C0001046,SHELBY BAPTIST AMBULATORY SURGERY CENTER LLC,1010 1ST ST N,ALABASTER,AL,35007,,(205) 620-8400,98,2,0,99,93,6,1,96,89,10,1,95,88,11,1,96,,1320,378,29,07/01/2024,06/30/2025
01C0001048,SURGERY CENTER OF CULLMAN LLC,1403 WALL ST NORTHEAST,CULLMAN,AL,35055,,(256) 736-2811,99,1,0,99,95,4,1,97,92,7,1,97,91,6,3,95,3,1847,505,27,07/01/2024,06/30/2025
01C0001050,EYE SURGERY CENTER OF NORTH ALABAMA INC,3501 MEMORIAL PARKWAY SOUTHWEST,HUNTSVILLE,AL,35801,,(256) 428-3937,,,,,,,,,,,,,,,,,1,,,,,
01C0001051,ALABAMA DIGESTIVE HEALTH ENDOSCOPY CENTER LLC,2010 BROOKWOOD MEDICAL CTR DR  G100,BIRMINGHAM,AL,35209,,(205) 877-1187,95,4,1,97,91,7,2,95,79,16,5,91,78,21,1,92,,1268,208,17,07/01/2024,06/30/2025
01C0001053,JACKSON SURGERY CENTER LLC,1725 PARK PL,MONTGOMERY,AL,36106,,(334) 293-3920,98,2,0,99,90,8,2,94,84,12,4,94,87,11,2,95,,747,173,23,07/01/2024,06/30/2025
01C0001056,CUTANEOUS ONCOLOGY AND SURGERY CENTER LLC DBA SMOOTHROCK SURGERY CENTER,1940 STONEGATE DR SUITE 140,VESTAVIA HILLS,AL,35242,,(205) 968-3919,98,2,0,99,88,9,3,93,93,6,1,97,94,5,1,98,3,504,185,37,07/01/2024,06/30/2025
01C0001057,FRESENIUS VASCULAR CARE MONTGOMERY ASC LLC,1501 FOREST AVENUE,MONTGOMERY,AL,36106,,(334) 593-7434,99,1,0,100,96,3,1,97,91,7,2,96,84,6,10,88,"3,6",577,67,12,07/01/2024,06/30/2025
01C0001058,NEPHROLOGY VASCULAR LAB OF CENTRAL ALABAMA ASC LLC,1280 COLUMBIANA ROAD SUITE 120,BIRMINGHAM,AL,35216,,(205) 916-5201,97,3,0,99,90,8,2,94,91,5,4,95,80,15,5,90,"3,6",725,78,11,07/01/2024,06/30/2025
01C0001059,ALABAMA EYE SURGERY CENTER LLC,5937 WEST MAIN ST,DOTHAN,AL,36305,,(334) 446-0872,99,1,0,99,92,5,3,95,94,6,0,97,95,5,0,98,3,451,140,32,07/01/2024,06/30/2025
01C0001060,SUNRISE SKIN CANCER SURGERY CENTER LLC,70 MIDTOWN PARK EAST SUITE A,MOBILE,AL,36606,,(251) 289-1786,95,4,1,97,86,7,7,90,87,13,0,95,83,17,0,94,"3,6",197,65,33,07/01/2024,06/30/2025
01C0001061,AFFINITY GASTROENTEROLOGY ASC LLC,3686 GRANDVIEW PARKWAY SUITE 610,BIRMINGHAM,AL,35243,,(205) 971-3706,98,2,0,99,92,6,2,95,91,8,1,96,89,10,1,96,3,929,228,25,07/01/2024,06/30/2025
01C0001062,SURGICAL CLINIC SOLUTIONS LLC DBA SURGICAL INSTITUTE OF ALABAMA,1021 MONTGOMERY HIGHWAY SUITE 100,VESTAVIA HILLS,AL,35216,,(205) 421-4803,98,2,0,99,92,7,1,95,93,6,1,96,89,8,3,95,,971,290,30,07/01/2024,06/30/2025
01C0001063,EAMC-LANIER AMBULATORY SURGERY CENTER LLC,4800 48TH STREET,VALLEY,AL,36801,,(334) 756-9180,97,3,0,99,94,6,0,97,87,10,3,96,86,13,1,95,"3,6",408,86,22,07/01/2024,06/30/2025
01C0001064,SEES GROUP ALABAMA LLC DBA EYE SURGERY CENTER OF HOMEWOOD,200 WILDWOOD PARKWAY SUITE 100,HOMEWOOD,AL,35209,,(205) 943-4600,98,2,0,99,93,6,1,96,95,3,2,97,95,4,1,97,3,362,109,31,07/01/2024,06/30/2025
01C0001065,EAST ALABAMA AMBULATORY SURGERY CENTER,900 CAMP AUBURN ROAD SUITE 200,AUBURN,AL,36832,,(000) 000-0000,99,1,0,99,94,5,1,96,95,4,1,98,94,4,2,97,,1381,425,31,07/01/2024,06/30/2025
01C0001066,GUT ENDO LLC DBA CENTER FOR DIGESTIVE HEALTH,301 MEDICAL PARK BOULEVARD,DOTHAN,AL,36301,,(334) 836-1212,98,2,0,99,93,6,1,96,95,4,1,97,91,9,0,97,"3,6",489,92,19,07/01/2024,06/30/2025
01C0001068,UNITED VASCULAR OF HUNTSVILLE LLC,4700 WHITESBURG DRIVE SOUTHWEST SUITE 300,HUNTSVILLE,AL,35802,,(804) 655-6150,97,2,1,98,93,5,2,96,93,3,4,96,90,4,6,93,3,442,100,23,07/01/2024,06/30/2025
01C0001069,ONE NINETEEN GI ASC LLC,7191 CAHABA VALLEY ROAD SUITE 202,BIRMINGHAM,AL,35242,,(205) 855-6176,99,1,0,99,95,5,0,97,95,4,1,97,94,5,1,97,3,536,155,29,07/01/2024,06/30/2025
01C0001070,HUNSTVILLE SURGERY CENTER LLC DBA LASER EYE SURGERY CENTER,2308 MARKET PLACE SOUTHWEST,HUNTSVILLE,AL,35801,,(256) 863-3100,99,1,0,99,92,7,1,96,88,11,1,95,89,9,2,96,3,526,125,24,07/01/2024,06/30/2025
01C0001104,INFIRMARY ASC DAPHNE LLC,27961 US HIGHWAY 98,DAPHNE,AL,36526,,(251) 626-6646,99,1,0,99,96,3,1,97,97,2,1,98,94,6,0,98,"3,10",170,46,27,07/01/2024,06/30/2025
01C0001106,USA BALDWIN COUNTY ASC LLC DBA USA HEALTH BALDWIN ASC,21890 STATE HIGHWAY 181,FAIRHOPE,AL,36532,,(251) 517-4284,97,2,1,98,92,6,2,95,89,8,3,95,86,11,3,94,3,1164,299,26,07/01/2024,06/30/2025
02C0001000,AWH HOLDINGS LLC,4115 LAKE OTIS PKWY,ANCHORAGE,AK,99508,,(907) 762-8102,96,4,0,98,94,5,1,96,93,6,1,96,84,14,2,94,"3,6",404,93,23,07/01/2024,06/30/2025
02C0001001,ALASKA SURGERY CENTER,4100 LAKE OTIS PARKWAY SUITE 222,ANCHORAGE,AK,99508,,(907) 550-6241,98,2,0,99,93,6,1,96,92,6,2,97,92,6,2,96,3,493,168,34,07/01/2024,06/30/2025
02C0001002,GENEVA WOODS SURGICAL CENTER INC,3730 RHONE CIR SUITE 100,ANCHORAGE,AK,99508,,(907) 562-4764,96,3,1,98,94,5,1,96,87,10,3,94,84,10,6,91,"3,6",285,77,27,07/01/2024,06/30/2025
02C0001004,PACIFIC CATARACT AND LASER INSTITUTE INC,1600 A ST STE. 200,ANCHORAGE,AK,99501,,(360) 242-3000,98,2,0,99,89,9,2,94,89,10,1,96,94,5,1,98,3,357,134,38,07/01/2024,06/30/2025
02C0001005,ANCHORAGE ENDOSCOPY CENTER LLC,"2841 DEBARR RD, STE. 51",ANCHORAGE,AK,99508,,(907) 222-9194,94,6,0,97,97,3,0,98,88,11,1,95,90,9,1,96,3,592,182,31,07/01/2024,06/30/2025
02C0001007,ALASKA DIGESTIVE CENTER,4048 LAUREL ST SUITE 103 A,ANCHORAGE,AK,99508,,(907) 563-1750,96,3,1,97,94,4,2,96,90,7,3,95,82,14,4,92,3,537,109,20,07/01/2024,06/30/2025
02C0001008,ALPINE SURGICENTER LLC DBA ALPINE SURGERY CENTER,3801 LAKE OTIS PARKWAY SUITE 100,ANCHORAGE,AK,99508,,(615) 344-1406,99,1,0,99,94,5,1,97,92,7,1,96,90,7,3,95,3,630,211,33,07/01/2024,06/30/2025
02C0001011,PROVIDENCE SURGERY CENTERS LLC,3831 PIPER ST. S110,ANCHORAGE,AK,99508,,(907) 339-7800,99,1,0,100,94,5,1,96,93,7,0,97,91,9,0,97,3,546,133,24,07/01/2024,06/30/2025
02C0001012,SURGERY CENTER OF FAIRBANKS LLC,2310 PEGER RD,FAIRBANKS,AK,99709,,(907) 770-9608,98,2,0,99,90,8,2,94,97,1,2,97,91,8,1,97,3,640,130,21,07/01/2024,06/30/2025
02C0001014,SOUTH ANCHORAGE SURGERY CENTER LLC,"1917 ABBOTT RD, SUITE 103",ANCHORAGE,AK,99507,,(907) 770-3244,98,2,0,99,93,6,1,96,86,12,2,95,87,12,1,95,3,515,114,22,07/01/2024,06/30/2025
02C0001015,SURGERY CENTER OF WASILLA LLC,3190 EAST MERIDIAN PARK LOOP SUITE 111,WASILLA,AK,99654,,(907) 631-3578,97,2,1,98,96,3,1,98,93,5,2,95,87,10,3,94,3,350,126,36,07/01/2024,06/30/2025
02C0001016,ALASKA HEART INSTITUTE LLC,"3220 PROVIDENCE DR, SUITE E3-083",ANCHORAGE,AK,99508,,(907) 264-5835,98,2,0,99,92,7,1,96,90,8,2,95,85,11,4,92,"3,10",112,47,42,07/01/2024,06/30/2025
02C0001018,SUSITNA SURGERY CENTER LLC,2490 SOUTH WOODWORTH LOOP SUITE 100,PALMER,AK,99645,,(907) 861-6540,97,2,1,98,95,5,0,97,85,10,5,93,85,13,2,94,3,631,107,17,07/01/2024,06/30/2025
02C0001020,ASC NORTH LLC,6911 DEBARR ROAD,ANCHORAGE,AK,99504,,(907) 770-1084,100,0,0,100,98,2,0,99,93,5,2,97,89,9,2,96,"3,10",151,49,32,07/01/2024,06/30/2025
03C0001001,BANNER PHOENIX SURGERY CENTER LLC,1111 EAST MCDOWELL ROAD SUITE B,PHOENIX,AZ,85006,,(602) 368-3854,98,2,0,99,93,6,1,96,90,10,0,96,89,10,1,96,3,749,160,21,07/01/2024,06/30/2025
03C0001016,SURGERY CENTER OF PEORIA,13260 NORTH 94TH DR SUITE 200,PEORIA,AZ,85381,,(623) 234-4307,97,3,0,99,91,7,2,95,90,8,2,95,88,11,1,95,,1185,269,23,07/01/2024,06/30/2025
03C0001020,EYE SURGERY CENTER OF ARIZONA,220 SOUTH 63RD ST,MESA,AZ,85206,,(512) 740-4848,,,,,,,,,,,,,,,,,1,,,,,
03C0001021,EYE INSTITUTE AT BOSWELL DBA SUN CITY EYE,10541 WEST THUNDERBIRD BLVD,SUN CITY,AZ,85351,,(623) 933-3402,96,4,0,98,91,7,2,95,89,9,2,95,85,12,3,94,3,2637,845,32,07/01/2024,06/30/2025
03C0001024,BARNET DULANEY PERKINS EYE CENTER PLLC,40 CAPRI BLVD. #102,LAKE HAVASU CITY,AZ,86403,,(928) 855-9477,95,4,1,97,86,11,3,92,81,8,11,91,78,17,5,91,"3,10",293,46,16,07/01/2024,06/30/2025
03C0001041,OUTPATIENT SURGICAL CARE LTD,"1530 WEST GLENDALE AVE, SUITE 105",PHOENIX,AZ,85021,,(602) 995-3395,98,2,0,99,92,7,1,96,88,11,1,96,89,10,1,96,3,461,157,34,07/01/2024,06/30/2025
03C0001042,CASA GRANDESOUTHWESTERN EYE CENTER,560 N. CAMINO MERCADO STE. 1,CASA GRANDE,AZ,85122,,(480) 892-8400,96,3,1,98,83,14,3,90,76,15,9,91,84,14,2,94,"3,6",369,56,16,07/01/2024,06/30/2025
03C0001043,PRESCOTT OUTPATIENT SURGICAL CENTER,815 AINSWORTH DR.,PRESCOTT,AZ,86301,,(928) 443-6566,98,2,0,99,91,7,2,95,89,9,2,95,90,9,1,96,,694,247,36,07/01/2024,06/30/2025
03C0001044,BARNET DULANEY PERKINS EYE CENTER II PLLC DBA AMERICAN VISION PARTNERS,160 WEST UNIVERSITY DRIVE,MESA,AZ,85201,,(000) 000-0000,91,8,1,95,91,7,2,94,77,18,5,91,72,18,10,85,"3,6",410,57,14,07/01/2024,06/30/2025
03C0001047,SOUTHWESTERN EYE CENTER LTD,1055 SOUTH STAPLEY DR,MESA,AZ,85213,,(480) 892-8400,,,,,,,,,,,,,,,,,1,,,,,
03C0001052,CENTER FOR ADVANCED SURGERY,3367 SOUTH MERCY RD SUITE 101,GILBERT,AZ,85297,,(480) 899-2571,98,2,0,99,95,3,2,97,95,4,1,97,93,6,1,97,,981,243,25,07/01/2024,06/30/2025
03C0001053,AMBULATORY SURGERY CENTER OF TUCSON INC,1502 NORTH TUCSON BLVD.,TUCSON,AZ,85716,,(520) 326-4321,97,3,0,98,88,9,3,92,86,10,4,93,87,11,2,95,3,313,119,38,07/01/2024,06/30/2025
03C0001054,RF EYE PC DBA COCHISE EYE AND LASER,2445 EAST WILCOX DR,SIERRA VISTA,AZ,85635,,(520) 458-8131,96,4,0,98,88,9,3,92,81,15,4,92,82,15,3,93,3,470,170,36,07/01/2024,06/30/2025
03C0001056,PHYSICIANS SURGERY CENTER OF TEMPE LLC DBA PHYSICIANS SURGERY CENTER OF TEMPE,2905 WEST WARNER RD SUITE 10,CHANDLER,AZ,85282,,(480) 820-7101,97,3,0,98,93,6,1,96,87,11,2,94,84,15,1,94,,1114,205,18,07/01/2024,06/30/2025
03C0001057,SOUTHWESTERN EYE CENTER LTD,3321 E. BELLE RD. STE. B12,PHOENIX,AZ,85254,,(480) 892-8400,96,3,1,97,84,12,4,90,83,11,6,93,83,14,3,93,"3,6",345,65,19,07/01/2024,06/30/2025
03C0001059,NORTHWEST EYE SPECIALISTSLLC,5599 N. ORACLE RD,TUCSON,AZ,85704,,(520) 293-6740,98,2,0,99,95,4,1,97,91,6,3,95,93,5,2,96,3,368,104,28,07/01/2024,06/30/2025
03C0001063,SCOTTSDALE EYE SURGERY CENTER PC,3320 NORTH MILLER RD,SCOTTSDALE,AZ,85251,,(480) 291-7963,96,3,1,98,84,12,4,90,89,7,4,94,85,13,2,94,3,558,135,24,07/01/2024,06/30/2025
03C0001070,BANNER PEORIA SURGERY CENTER,"13640 NORTH PLAZA DEL RIO BLVD, SUITE 135",PEORIA,AZ,85381,,(623) 285-0084,96,4,0,98,92,6,2,95,83,15,2,93,79,19,2,92,3,1243,377,30,07/01/2024,06/30/2025
03C0001071,NORTHERN ARIZONA HEALTHCARE ORTHOPEDIC SURGERY CENTER LLC,2100 NORTH BEAVER ST,FLAGSTAFF,AZ,86001,,(928) 214-3709,98,2,0,99,93,6,1,96,86,13,1,95,86,13,1,95,,939,252,27,07/01/2024,06/30/2025
03C0001080,SUN CITY AZ ENDOSCOPY ASC LLC,13640 N. 99 AVE. STE. 700,SUN CITY,AZ,85351,,(623) 523-0501,97,3,0,98,95,4,1,97,95,4,1,97,92,5,3,96,3,2141,825,39,07/01/2024,06/30/2025
03C0001087,MAYO CLINIC ARIZONA DBA MAYO CLINIC SCOTTSDALE,13400 EAST SHEA BLVD,SCOTTSDALE,AZ,85259,,(507) 293-0835,98,2,0,99,92,6,2,95,93,4,3,97,92,5,3,96,3,1099,399,36,07/01/2024,06/30/2025
03C0001093,AIMS OUTPATIENT SURGERY,3636 STOCKTON HILL RD,KINGMAN,AZ,86409,,(928) 757-3636,93,5,2,95,81,16,3,89,65,30,5,89,59,36,5,84,"3,10",180,29,17,07/01/2024,06/30/2025
03C0001202,RUMMEL EYE CARE,1022 WILLOW CREEK RD,PRESCOTT,AZ,86301,,(928) 445-1341,98,2,0,99,92,7,1,95,89,8,3,95,88,8,4,94,3,350,164,47,07/01/2024,06/30/2025
03C0001203,BANNER DESERT SURGERY CENTER,"2355 E. CAMELBACK ROAD, SUITE 700",PHOENIX,AZ,85016,,(574) 361-7619,98,2,0,99,88,10,2,93,89,8,3,95,79,21,0,93,3,393,100,25,07/01/2024,06/30/2025
03C0001207,ARIZONA OPHTHALMIC OUTPATIENT SURGERY,"300 E. OSBORN RD, #102",PHOENIX,AZ,85012,,(602) 234-8478,94,6,0,97,86,11,3,92,80,16,4,92,76,19,5,89,3,1813,531,29,07/01/2024,06/30/2025
03C0001214,NORTHERN ARIZONA EYE ASSOCIATES,900 N. SAN FRANCISCO ST,FLAGSTAFF,AZ,86001,,(928) 779-7000,98,2,0,99,95,4,1,97,89,9,2,96,88,10,2,95,"3,6",162,51,32,07/01/2024,06/30/2025
03C0001215,ARIZONA INSTITUTE OF EYE SURGERY LLC,3192 WILLOW CREEK RD,PRESCOTT,AZ,86301,,(928) 445-1234,95,4,1,97,86,12,2,92,87,9,4,93,83,13,4,93,"3,6",419,86,21,07/01/2024,06/30/2025
03C0001217,COTTONWOODSOUTHWESTERN EYE CENTER,270 CANDY LANE,COTTONWOOD,AZ,86326,,(480) 892-8400,96,3,1,98,84,13,3,91,77,15,8,90,79,17,4,91,"3,6",374,68,18,07/01/2024,06/30/2025
03C0001220,SQUAW PEAK SURGICAL FACILITY INC,1635 EAST MYRTLE AVE SUITE 100,PHOENIX,AZ,85020,,(602) 944-5656,98,2,0,99,95,5,0,97,90,8,2,96,90,7,3,96,"3,6",375,85,23,07/01/2024,06/30/2025
03C0001228,PHYSICIANS SURGERY CENTER,1800 HWY 95 SUITE 5,BULLHEAD CITY,AZ,86442,,(928) 763-8443,96,4,0,98,88,10,2,93,80,16,4,93,87,13,0,96,3,359,101,28,07/01/2024,06/30/2025
03C0001235,ARIZONA ENDOSCOPY CENTER LLC,1410 EAST MCDOWELL RD,PHOENIX,AZ,85006,,(602) 716-9655,97,3,0,98,93,6,1,96,90,10,0,96,89,10,1,95,3,1396,458,33,07/01/2024,06/30/2025
03C0001236,AKDHC SURGERY CENTER LLC,3320 N. 2ND ST.,PHOENIX,AZ,85018,,(602) 200-8288,97,3,0,99,82,12,6,88,70,30,0,92,70,27,3,89,"3,10",277,26,9,07/01/2024,06/30/2025
03C0001239,THUNDERBIRD ENDOSCOPY CENTER,5823 WEST EUGIE AVE,GLENDALE,AZ,85308,,(602) 424-4040,,,,,,,,,,,,,,,,,1,,,,,
03C0001240,TUCSON GASTROENTEROLOGY INSTITUTE LLC,3040 N. SWAN RD. STE. A,TUCSON,AZ,85712,,(520) 382-1154,95,4,1,97,90,6,4,93,86,10,4,93,84,12,4,93,"3,6",350,64,19,07/01/2024,06/30/2025
03C0001247,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF SCOTTSDALE,8962 EAST DESERT COVE AVE SUITE 120A,SCOTTSDALE,AZ,85260,,(480) 661-5232,97,2,1,98,92,6,2,95,89,8,3,95,86,12,2,94,,1553,450,29,07/01/2024,06/30/2025
03C0001248,SUNRISE AMBULATORY SURGICAL CENTER,5448 SOUTH WHITE MOUNTAIN BLVD SUITE 100,LAKESIDE,AZ,85929,,(928) 532-3010,95,4,1,97,88,9,3,92,85,12,3,94,85,12,3,93,3,1298,373,29,07/01/2024,06/30/2025
03C0001249,SCOTTSDALE ENDOSCOPY ASC LLC DBA SCOTTSDALE ENDOSCOPY CENTER,9787 NORTH 91ST STREET SUITE 103,SCOTTSDALE,AZ,85258,,(480) 657-0889,97,2,1,98,92,6,2,95,91,8,1,96,86,12,2,94,,902,213,24,07/01/2024,06/30/2025
03C0001253,SURGERY CENTER OF GILBERT,6003 EAST BASELINE RD,MESA,AZ,85206,,(480) 641-6500,99,1,0,99,91,7,2,95,91,7,2,96,91,9,0,97,3,581,179,31,07/01/2024,06/30/2025
